created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2020-07-07 12:10:37 -03,215,"28.30
","1011.72
","71.00
","0.00
","90
",,,,
2020-07-07 12:11:08 -03,216,"28.30
","1011.74
","71.50
","0.00
","90
",,,,
2020-07-07 12:11:40 -03,217,"28.33
","1011.76
","72.00
","0.00
","135
",,,,
2020-07-07 12:12:11 -03,218,"28.33
","1011.79
","72.80
","0.00
","180
",,,,
2020-07-07 12:12:43 -03,219,"28.34
","1011.77
","72.60
","0.00
","90
",,,,
2020-07-07 12:13:14 -03,220,"28.34
","1011.75
","71.60
","0.00
","135
",,,,
2020-07-07 12:13:45 -03,221,"28.36
","1011.76
","71.90
","6.65
","225
",,,,
2020-07-07 12:14:17 -03,222,"28.37
","1011.77
","69.20
","0.74
","45
",,,,
2020-07-07 12:14:48 -03,223,"28.37
","1011.78
","69.40
","0.00
","90
",,,,
2020-07-07 12:15:19 -03,224,"28.40
","1011.74
","69.00
","5.91
","180
",,,,
2020-07-07 12:15:51 -03,225,"28.39
","1011.78
","68.30
","1.48
","90
",,,,
2020-07-07 12:16:22 -03,226,"28.39
","1011.70
","69.20
","0.00
","90
",,,,
2020-07-07 12:16:54 -03,227,"28.40
","1011.74
","69.30
","0.74
","135
",,,,
2020-07-07 12:17:25 -03,228,"28.40
","1011.72
","69.60
","0.00
","90
",,,,
2020-07-07 12:17:56 -03,229,"28.40
","1011.81
","70.40
","0.00
","90
",,,,
2020-07-07 12:18:28 -03,230,"28.40
","1011.75
","70.70
","6.65
","180
",,,,
2020-07-07 12:18:59 -03,231,"28.40
","1011.71
","69.30
","1.48
","90
",,,,
2020-07-07 12:19:30 -03,232,"28.42
","1011.68
","69.80
","0.00
","180
",,,,
2020-07-07 12:20:02 -03,233,"28.40
","1011.75
","70.40
","0.00
","45
",,,,
2020-07-07 12:20:33 -03,234,"28.41
","1011.72
","69.70
","0.00
","135
",,,,
2020-07-07 12:21:05 -03,235,"28.41
","1011.75
","70.00
","0.00
","180
",,,,
2020-07-07 12:21:36 -03,236,"28.42
","1011.77
","70.90
","0.00
","225
",,,,
2020-07-07 12:22:07 -03,237,"28.46
","1011.75
","71.50
","0.00
","225
",,,,
2020-07-07 12:22:39 -03,238,"28.47
","1011.73
","70.90
","0.00
","90
",,,,
2020-07-07 12:23:10 -03,239,"28.48
","1011.73
","70.70
","0.00
","90
",,,,
2020-07-07 12:23:42 -03,240,"28.51
","1011.70
","71.30
","0.00
","135
",,,,
2020-07-07 12:24:13 -03,241,"28.52
","1011.72
","71.50
","0.00
","90
",,,,
2020-07-07 12:24:44 -03,242,"28.56
","1011.69
","70.80
","0.00
","90
",,,,
2020-07-07 12:25:16 -03,243,"28.54
","1011.72
","70.80
","0.00
","180
",,,,
2020-07-07 12:25:47 -03,244,"28.53
","1011.68
","70.20
","0.00
","0
",,,,
2020-07-07 12:26:18 -03,245,"28.56
","1011.68
","71.00
","0.74
","45
",,,,
2020-07-07 12:26:50 -03,246,"28.54
","1011.66
","69.70
","0.00
","135
",,,,
2020-07-07 12:27:21 -03,247,"28.54
","1011.68
","70.00
","0.00
","90
",,,,
2020-07-07 12:27:53 -03,248,"28.54
","1011.64
","69.70
","0.00
","90
",,,,
2020-07-07 12:28:24 -03,249,"28.54
","1011.63
","70.30
","0.00
","90
",,,,
2020-07-07 12:28:55 -03,250,"28.56
","1011.63
","71.10
","0.00
","135
",,,,
2020-07-07 12:29:27 -03,251,"28.57
","1011.64
","70.20
","0.00
","90
",,,,
2020-07-07 12:29:58 -03,252,"28.57
","1011.64
","70.50
","0.00
","225
",,,,
2020-07-07 12:30:29 -03,253,"28.57
","1011.64
","71.30
","0.00
","135
",,,,
2020-07-07 12:31:01 -03,254,"28.58
","1011.60
","71.30
","0.00
","225
",,,,
2020-07-07 12:31:32 -03,255,"28.56
","1011.63
","70.20
","0.00
","225
",,,,
2020-07-07 12:32:04 -03,256,"28.57
","1011.62
","70.70
","0.00
","180
",,,,
2020-07-07 12:32:35 -03,257,"28.56
","1011.62
","70.10
","0.00
","135
",,,,
2020-07-07 12:33:06 -03,258,"28.57
","1011.60
","70.00
","8.87
","270
",,,,
2020-07-07 12:33:38 -03,259,"28.56
","1011.57
","69.70
","0.00
","135
",,,,
2020-07-07 12:34:09 -03,260,"28.58
","1011.59
","70.00
","0.00
","315
",,,,
2020-07-07 12:34:40 -03,261,"28.57
","1011.60
","70.10
","0.00
","135
",,,,
2020-07-07 12:35:12 -03,262,"28.58
","1011.57
","70.30
","0.00
","315
",,,,
2020-07-07 12:35:43 -03,263,"28.58
","1011.59
","70.40
","0.00
","90
",,,,
2020-07-07 12:36:15 -03,264,"28.57
","1011.59
","70.80
","0.00
","270
",,,,
2020-07-07 12:36:46 -03,265,"28.57
","1011.66
","70.60
","0.00
","270
",,,,
2020-07-07 12:37:17 -03,266,"28.58
","1011.65
","70.60
","0.00
","270
",,,,
2020-07-07 12:37:49 -03,267,"28.57
","1011.58
","70.60
","0.00
","225
",,,,
2020-07-07 12:38:20 -03,268,"28.59
","1011.59
","70.40
","0.00
","135
",,,,
2020-07-07 12:38:51 -03,269,"28.60
","1011.64
","70.50
","0.00
","0
",,,,
2020-07-07 12:39:23 -03,270,"28.61
","1011.57
","70.60
","0.00
","45
",,,,
2020-07-07 12:39:54 -03,271,"28.60
","1011.54
","70.80
","0.00
","270
",,,,
2020-07-07 12:40:25 -03,272,"28.61
","1011.51
","70.40
","0.00
","135
",,,,
2020-07-07 12:40:57 -03,273,"28.60
","1011.54
","70.50
","5.17
","270
",,,,
2020-07-07 12:41:28 -03,274,"28.61
","1011.48
","69.80
","0.00
","90
",,,,
2020-07-07 12:42:00 -03,275,"28.62
","1011.55
","70.20
","0.00
","135
",,,,
2020-07-07 12:42:31 -03,276,"28.61
","1011.47
","70.00
","0.00
","45
",,,,
2020-07-07 12:43:02 -03,277,"28.62
","1011.45
","70.50
","0.00
","180
",,,,
2020-07-07 12:43:34 -03,278,"28.63
","1011.48
","70.40
","0.00
","45
",,,,
2020-07-07 12:44:05 -03,279,"28.64
","1011.50
","70.20
","0.00
","135
",,,,
2020-07-07 12:44:37 -03,280,"28.66
","1011.48
","69.70
","0.00
","135
",,,,
2020-07-07 12:45:08 -03,281,"28.68
","1011.35
","69.90
","0.00
","90
",,,,
2020-07-07 12:45:39 -03,282,"28.67
","1011.40
","70.70
","0.00
","225
",,,,
2020-07-07 12:46:11 -03,283,"28.67
","1011.33
","69.70
","0.00
","180
",,,,
2020-07-07 12:46:42 -03,284,"28.67
","1011.33
","69.30
","0.00
","180
",,,,
2020-07-07 12:47:13 -03,285,"28.68
","1011.33
","69.70
","0.00
","90
",,,,
2020-07-07 12:47:45 -03,286,"28.67
","1011.34
","70.20
","0.00
","180
",,,,
2020-07-07 12:48:16 -03,287,"28.67
","1011.30
","70.10
","0.00
","180
",,,,
2020-07-07 12:48:48 -03,288,"28.69
","1011.32
","70.90
","0.00
","225
",,,,
2020-07-07 12:49:19 -03,289,"28.70
","1011.31
","70.80
","0.00
","315
",,,,
2020-07-07 12:49:50 -03,290,"28.71
","1011.34
","70.70
","0.00
","135
",,,,
2020-07-07 12:50:22 -03,291,"28.72
","1011.30
","68.90
","0.00
","180
",,,,
2020-07-07 12:50:53 -03,292,"28.73
","1011.30
","68.20
","0.00
","225
",,,,
2020-07-07 12:51:24 -03,293,"28.73
","1011.30
","68.40
","0.00
","135
",,,,
2020-07-07 12:51:56 -03,294,"28.74
","1011.25
","68.60
","0.00
","90
",,,,
2020-07-07 12:52:27 -03,295,"28.77
","1011.24
","68.50
","0.00
","90
",,,,
2020-07-07 12:52:58 -03,296,"28.78
","1011.29
","68.50
","0.00
","225
",,,,
